City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
150,Dalbandin,28.8947,64.4101,52.47,22,0,5.99,PK,2021-12-12 19:05:20
151,Beringovskiy,63.05,179.3167,-22.47,90,100,10.83,RU,2021-12-12 19:05:20
152,Evensk,61.95,159.2333,10.98,47,100,24.72,RU,2021-12-12 19:05:20
153,Klyuchi,52.2667,79.1667,-0.67,97,9,5.53,RU,2021-12-12 19:05:20
154,Pisco,-13.7,-76.2167,73.45,68,40,13.8,PE,2021-12-12 19:05:21
155,Jacqueville,5.2052,-4.4146,84.11,83,100,9.95,CI,2021-12-12 19:05:21
156,Constitucion,-35.3333,-72.4167,62.22,56,0,18.34,CL,2021-12-12 19:05:21
157,Isangel,-19.55,169.2667,80.31,87,99,8.3,VU,2021-12-12 19:03:38
158,Kalianget,-7.05,113.9333,80.78,80,100,6.62,ID,2021-12-12 19:05:22
159,Yaan,7.3833,8.5667,84.76,17,85,4.43,NG,2021-12-12 19:05:22
160,Saint-Philippe,-21.3585,55.7679,78.39,79,60,14.74,RE,2021-12-12 19:01:47
161,Bandarbeyla,9.4942,50.8122,77.0,79,7,23.35,SO,2021-12-12 19:04:40
162,Formosa Do Rio Preto,-11.0483,-45.1931,80.17,80,100,6.71,BR,2021-12-12 19:05:23
163,Galesong,-5.3166,119.3661,75.22,82,100,6.42,ID,2021-12-12 19:05:23
164,Salalah,17.0151,54.0924,77.09,33,0,10.36,OM,2021-12-12 19:05:24
165,Esperance,-33.8667,121.9,54.7,62,84,5.21,AU,2021-12-12 19:01:40
166,Upernavik,72.7868,-56.1549,6.35,92,100,9.98,GL,2021-12-12 19:05:24
167,Qaanaaq,77.484,-69.3632,-3.95,68,42,3.18,GL,2021-12-12 19:05:24
168,Cabo San Lucas,22.8909,-109.9124,79.52,63,64,1.99,MX,2021-12-12 19:00:38
169,Magadan,59.5667,150.8,14.74,95,100,10.38,RU,2021-12-12 19:05:25
170,Fare,-16.7,-151.0167,80.64,74,98,11.54,PF,2021-12-12 19:05:25
171,Matamoros,25.5333,-103.25,68.11,33,75,8.05,MX,2021-12-12 19:05:25
172,Ylivieska,64.0833,24.55,31.32,89,100,7.0,FI,2021-12-12 19:05:26
173,Guerrero Negro,27.9769,-114.0611,67.5,43,39,6.82,MX,2021-12-12 19:01:54
174,Grand-Santi,4.25,-54.3833,76.28,98,100,3.24,GF,2021-12-12 19:05:26
175,Shahapur,19.45,73.3333,80.08,54,3,3.42,IN,2021-12-12 19:05:27
176,Yumen,40.2833,97.2,20.37,39,0,11.79,CN,2021-12-12 19:03:27
177,Sitka,57.0531,-135.33,33.69,80,90,9.22,US,2021-12-12 19:05:27
178,Carora,10.1755,-70.0827,90.54,29,32,3.74,VE,2021-12-12 19:06:27
179,Okhotsk,59.3833,143.3,-1.21,76,100,18.61,RU,2021-12-12 19:06:28
180,Flinders,-34.5833,150.8552,61.21,88,43,6.06,AU,2021-12-12 19:06:19
181,Ironton,38.5368,-82.6829,50.4,45,1,8.05,US,2021-12-12 19:06:28
182,Morondava,-20.2833,44.2833,81.19,76,100,8.7,MG,2021-12-12 19:06:28
183,Seoul,37.5683,126.9778,26.04,31,0,10.83,KR,2021-12-12 19:04:21
184,Hobyo,5.3505,48.5268,78.89,80,54,19.8,SO,2021-12-12 19:02:54
185,Paamiut,61.994,-49.6678,11.01,81,2,3.44,GL,2021-12-12 19:06:29
186,Kachkanar,58.7,59.4948,11.75,86,100,6.24,RU,2021-12-12 19:06:29
187,Humaita,-7.5061,-63.0208,82.36,88,100,4.25,BR,2021-12-12 19:06:30
188,Ribeira Grande,38.5167,-28.7,57.6,54,40,9.22,PT,2021-12-12 19:06:30
189,Zachepylivka,49.1939,35.2394,37.47,66,100,13.13,UA,2021-12-12 19:06:30
190,Rio Gallegos,-51.6226,-69.2181,54.63,29,96,38.79,AR,2021-12-12 19:01:35
191,Araceli,10.5529,119.9913,81.05,86,100,23.85,PH,2021-12-12 19:06:31
192,Ugoofaaru,5.6667,73.0,82.26,76,99,11.9,MV,2021-12-12 19:06:31
193,Basco,20.4487,121.9702,76.12,64,100,22.48,PH,2021-12-12 19:06:31
