City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
204,Khatanga,RU,71.9667,102.5,-51.43,100,83,2.26,broken clouds
205,Jalu,LY,29.0331,21.5482,56.05,55,4,9.78,clear sky
206,Ulundi,ZA,-28.3352,31.4162,67.41,92,100,3.65,overcast clouds
207,Castro,BR,-24.7911,-50.0119,78.21,51,87,4.43,overcast clouds
208,Kommunar,RU,59.6206,30.39,23.04,98,100,4.59,light snow
209,Ostrovnoy,RU,68.0531,39.5131,30.67,89,100,17.72,overcast clouds
210,Clyde River,CA,70.4692,-68.5914,-1.97,84,35,9.22,light snow
211,Porto Velho,BR,-8.7619,-63.9039,84.25,70,20,4.61,few clouds
212,Alofi,NU,-19.0595,-169.9187,78.15,70,10,6.8,clear sky
213,Agirish,RU,61.9247,63.0231,12.45,87,98,6.15,overcast clouds
214,Kazerun,IR,29.6195,51.6541,55.09,34,0,2.35,clear sky
215,Saint George,US,37.1041,-113.5841,59.47,34,1,3.0,clear sky
216,Arraial Do Cabo,BR,-22.9661,-42.0278,80.46,78,75,6.91,moderate rain
217,Gondanglegi,ID,-7.7479,112.0132,75.24,93,91,6.76,overcast clouds
218,Riyadh,SA,24.6877,46.7219,53.74,28,36,6.55,scattered clouds
219,Aksarka,RU,66.5606,67.7975,-7.19,100,87,1.68,overcast clouds
220,Dukat,RU,62.55,155.55,-3.93,98,100,4.65,overcast clouds
221,Walvis Bay,NA,-22.9575,14.5053,62.1,74,0,14.03,clear sky
222,Jutai,BR,-5.1833,-68.9,81.99,87,71,2.51,broken clouds
223,Jiaocheng,CN,24.6774,116.1389,50.92,85,35,3.87,scattered clouds
224,Narsaq,GL,60.9167,-46.05,17.82,79,3,6.78,clear sky
225,Uvat,RU,59.1433,68.8953,16.0,94,99,7.61,light snow
226,Nanortalik,GL,60.1432,-45.2371,21.56,77,22,5.44,few clouds
227,Calama,CL,-22.4667,-68.9333,70.29,21,13,25.32,few clouds
228,High Rock,BS,26.6208,-78.2833,80.62,69,8,9.17,clear sky
229,Vila Velha,BR,-20.3297,-40.2925,80.55,86,20,13.0,moderate rain
230,Sampit,ID,-2.5333,112.95,74.34,98,100,2.01,overcast clouds
231,Jiayuguan,CN,39.8167,98.3,19.63,31,0,7.54,clear sky
232,Huilong,CN,31.8111,121.655,44.98,63,5,10.16,clear sky
233,Castelo Do Piaui,BR,-5.3222,-41.5525,92.89,25,92,6.78,overcast clouds
234,Kitimat,CA,54.0524,-128.6534,26.91,32,99,3.2,overcast clouds
235,Rawson,AR,-43.3002,-65.1023,68.18,37,86,26.24,overcast clouds
236,Makakilo City,US,21.3469,-158.0858,80.92,65,40,9.22,scattered clouds
237,Santiago,CL,-33.4569,-70.6483,79.18,38,20,8.05,few clouds
238,Henties Bay,NA,-22.116,14.2845,61.86,87,0,4.07,clear sky
239,Cienfuegos,CU,22.1461,-80.4356,86.14,58,20,9.22,few clouds
